queuePosition,priority,priorityReason,slug,title,category,importance,status,articleUrl,taskLibraryUrl,unmetStandardGates,heldStandardGates,unknownStandardGates,nextAction,instructionRevisionReviewed,contributorComplete,articleMapped,articleCatalogGate,articleSemanticCertification,taskExampleEvidence,recordedExecution,acceptedExecution,setupSuccess
58,P1,Known standard gap,film-conference-presentations,Film conference presentations,Content Factory — Produce,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
59,P1,Known standard gap,post-to-linkedin,Post to LinkedIn,Content Factory — Post,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
60,P1,Known standard gap,set-up-professional-email-on-domain,Set Up Professional Email on Domain,Digital Plumbing,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
61,P1,Known standard gap,upload-processed-video-to-youtube,Upload processed video to YouTube,Content Factory — Post,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
62,P1,Known standard gap,write-email-newsletter-from-video-key-insight,Write email newsletter from video key insight,Content Factory — Process,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
63,P1,Known standard gap,analyze-why-underperformers-fail,Analyze why underperformers fail,Strategy & Measurement,3,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
64,P1,Known standard gap,film-casual-team-conversations,Film casual team conversations,Content Factory — Produce,3,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
65,P1,Known standard gap,get-mentioned-in-publications,Get mentioned in publications,Personal Branding,3,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
66,P1,Known standard gap,google-ads-analyzer,Google Ads Analyzer — MAA Framework for Local Service Businesses,Strategy & Measurement,3,complete,,,instructionRevisionReviewed;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No exact-byte instruction review is recorded for this task.,unmet,pass,unmet,unmet,unknown,unknown,unknown,unknown,unknown
67,P1,Known standard gap,measure-content-rankings-traffic-revenue,Measure content → rankings → traffic → revenue,Strategy & Measurement,3,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
68,P1,Known standard gap,record-screen-shares-of-real-audits,Record screen shares of real audits,Content Factory — Produce,3,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
69,P1,Known standard gap,set-up-consistent-headshots-and-bios-across-profiles,Set Up Consistent Headshots and Bios Across Profiles,Digital Plumbing,3,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
70,P1,Known standard gap,show-whats-working-and-what-isnt,Show what's working and what isn't,Strategy & Measurement,3,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
71,P1,Known standard gap,set-favicon,Set Favicon,Digital Plumbing,2,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
72,P1,Known standard gap,boost-one-minute-videos-for-personal-branding,Boost one-minute videos for personal branding,Dollar a Day Campaigns,5,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=boost-one-minute-videos-for-personal-branding#task-boost-one-minute-videos-for-personal-branding,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
73,P1,Known standard gap,claim-and-brand-facebook-page,Claim and Brand Facebook Page,Digital Plumbing,5,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=claim-and-brand-facebook-page#task-claim-and-brand-facebook-page,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
74,P1,Known standard gap,configure-https-with-no-mixed-content,Configure HTTPS With No Mixed Content,Digital Plumbing,5,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=configure-https-with-no-mixed-content#task-configure-https-with-no-mixed-content,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
75,P1,Known standard gap,create-clear-conversion-path,Create Clear Conversion Path,Digital Plumbing,5,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=create-clear-conversion-path#task-create-clear-conversion-path,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
76,P1,Known standard gap,create-dollar-a-day-ad-creatives-from-best-content,Create Dollar a Day ad creatives from best content,Personal Branding,5,needs-work,https://blitzmetrics.com/personal-brand,https://local-service-spotlight.github.io/task-library/?task=create-dollar-a-day-ad-creatives-from-best-content#task-create-dollar-a-day-ad-creatives-from-best-content,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
77,P1,Known standard gap,create-facebook-instagram-campaigns-with-location-targeting,Create Facebook/Instagram campaigns with location targeting,Dollar a Day Campaigns,5,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=create-facebook-instagram-campaigns-with-location-targeting#task-create-facebook-instagram-campaigns-with-location-targeting,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
78,P1,Known standard gap,create-new-saved-audiences-from-audience-insights,Create new saved audiences from Audience Insights,Content Factory — Promote,5,needs-work,https://blitzmetrics.com/social-amplification,https://local-service-spotlight.github.io/task-library/?task=create-new-saved-audiences-from-audience-insights#task-create-new-saved-audiences-from-audience-insights,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
79,P1,Known standard gap,ensure-working-contact-form-delivers-notifications,Ensure Working Contact Form Delivers Notifications,Digital Plumbing,5,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=ensure-working-contact-form-delivers-notifications#task-ensure-working-contact-form-delivers-notifications,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
80,P1,Known standard gap,execute-switch-boost-to-target-new-audiences,Execute switch boost to target new audiences,Content Factory — Promote,5,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=execute-switch-boost-to-target-new-audiences#task-execute-switch-boost-to-target-new-audiences,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
81,P1,Known standard gap,execute-switch-boosts-to-new-audiences,Execute switch boosts to new audiences,Dollar a Day Campaigns,5,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=execute-switch-boosts-to-new-audiences#task-execute-switch-boosts-to-new-audiences,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
82,P1,Known standard gap,register-personal-name-domain,Register personal name domain,Personal Branding,5,needs-work,https://blitzmetrics.com/personal-brand,https://local-service-spotlight.github.io/task-library/?task=register-personal-name-domain#task-register-personal-name-domain,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
83,P1,Known standard gap,review-budget-allocation-by-channel,Review budget allocation by channel,Content Factory — Promote,5,needs-work,https://blitzmetrics.com/social-amplification,https://local-service-spotlight.github.io/task-library/?task=review-budget-allocation-by-channel#task-review-budget-allocation-by-channel,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
84,P1,Known standard gap,sequence-content-cold-warm-conversion,Sequence content: cold → warm → conversion,Content Factory — Promote,5,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=sequence-content-cold-warm-conversion#task-sequence-content-cold-warm-conversion,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
85,P1,Known standard gap,sequence-content-from-awareness-to-conversion,Sequence content from awareness to conversion,Dollar a Day Campaigns,5,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=sequence-content-from-awareness-to-conversion#task-sequence-content-from-awareness-to-conversion,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
86,P1,Known standard gap,set-up-call-tracking-for-phone-conversions,Set Up Call Tracking for Phone Conversions,Digital Plumbing,5,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=set-up-call-tracking-for-phone-conversions#task-set-up-call-tracking-for-phone-conversions,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
87,P1,Known standard gap,set-up-content-library,Set up Content Library,Content Factory — Produce,5,needs-work,https://blitzmetrics.com/social-amplification,https://local-service-spotlight.github.io/task-library/?task=set-up-content-library#task-set-up-content-library,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
88,P1,Known standard gap,set-up-meta-business-manager-and-public-figure-pages,Set up Meta Business Manager and Public Figure pages,Dollar a Day Campaigns,5,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=set-up-meta-business-manager-and-public-figure-pages#task-set-up-meta-business-manager-and-public-figure-pages,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
89,P1,Known standard gap,set-up-remarketing-ads-for-landing-page-abandoners,Set up remarketing ads for landing page abandoners,Content Factory — Promote,5,needs-work,https://blitzmetrics.com/social-amplification,https://local-service-spotlight.github.io/task-library/?task=set-up-remarketing-ads-for-landing-page-abandoners#task-set-up-remarketing-ads-for-landing-page-abandoners,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
90,P1,Known standard gap,use-dollar-a-day-to-influence-media-coverage,Use Dollar a Day to influence media coverage,Dollar a Day Campaigns,5,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=use-dollar-a-day-to-influence-media-coverage#task-use-dollar-a-day-to-influence-media-coverage,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
91,P1,Known standard gap,verify-domain-ownership-and-registrar-access,Verify Domain Ownership and Registrar Access,Digital Plumbing,5,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=verify-domain-ownership-and-registrar-access#task-verify-domain-ownership-and-registrar-access,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
92,P1,Known standard gap,verify-google-search-console-and-connect-to-ga4,Verify Google Search Console and Connect to GA4,Digital Plumbing,5,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=verify-google-search-console-and-connect-to-ga4#task-verify-google-search-console-and-connect-to-ga4,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
93,P1,Known standard gap,create-linkedin-page-matching-business-entity,Create LinkedIn Page Matching Business Entity,Digital Plumbing,4,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=create-linkedin-page-matching-business-entity#task-create-linkedin-page-matching-business-entity,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
94,P1,Known standard gap,create-or-update-a-definitive-article,Create or update a definitive task article,Content Factory — Process,4,needs-work,https://blitzmetrics.com/definitive-article-guide/,https://local-service-spotlight.github.io/task-library/?task=create-or-update-a-definitive-article#task-create-or-update-a-definitive-article,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,pass,unknown,unknown
95,P1,Known standard gap,create-youtube-campaigns-using-aducate-model,Create YouTube campaigns using ADUCATE model,Dollar a Day Campaigns,4,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=create-youtube-campaigns-using-aducate-model#task-create-youtube-campaigns-using-aducate-model,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
96,P1,Known standard gap,enable-youtube-captions-by-default,Enable YouTube captions by default,Content Factory — Post,4,needs-work,https://blitzmetrics.com/youtube-captions-on-by-default/,https://local-service-spotlight.github.io/task-library/?task=enable-youtube-captions-by-default#task-enable-youtube-captions-by-default,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
97,P1,Known standard gap,maintain-canonical-honor-and-story-leaves,Maintain a canonical honor and story leaves,Content Factory — Process,4,needs-work,https://blitzmetrics.com/one-canonical-honor/,https://local-service-spotlight.github.io/task-library/?task=maintain-canonical-honor-and-story-leaves#task-maintain-canonical-honor-and-story-leaves,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
98,P1,Known standard gap,set-up-tiktok-campaigns,Set up TikTok campaigns,Dollar a Day Campaigns,4,needs-work,https://blitzmetrics.com/dad,https://local-service-spotlight.github.io/task-library/?task=set-up-tiktok-campaigns#task-set-up-tiktok-campaigns,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
99,P1,Known standard gap,set-up-youtube-channel-with-proper-branding,Set Up YouTube Channel With Proper Branding,Digital Plumbing,4,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=set-up-youtube-channel-with-proper-branding#task-set-up-youtube-channel-with-proper-branding,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
100,P1,Known standard gap,submit-weekly-maa-report-every-friday,Submit weekly MAA report every Friday,Strategy & Measurement,4,needs-work,https://blitzmetrics.com/how-to-write-weekly-maa-reports-for-local-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=submit-weekly-maa-report-every-friday#task-submit-weekly-maa-report-every-friday,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
101,P1,Known standard gap,access-content-factory-source-assets,Access Content Factory source assets,Content Factory — Produce,3,needs-work,https://blitzmetrics.com/access-content-factory-photos-videos/,https://local-service-spotlight.github.io/task-library/?task=access-content-factory-source-assets#task-access-content-factory-source-assets,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
102,P1,Known standard gap,add-click-to-call-links-for-mobile,Add Click-to-Call Links for Mobile,Digital Plumbing,3,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=add-click-to-call-links-for-mobile#task-add-click-to-call-links-for-mobile,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
103,P1,Known standard gap,add-consistent-headshots-and-bios-across-profiles,Add consistent headshots and bios across profiles,Personal Branding,3,needs-work,https://blitzmetrics.com/personal-brand,https://local-service-spotlight.github.io/task-library/?task=add-consistent-headshots-and-bios-across-profiles#task-add-consistent-headshots-and-bios-across-profiles,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
104,P1,Known standard gap,add-homepage-blog-card-thumbnails,Add homepage blog-card thumbnails,Website QA Audit,3,needs-work,https://blitzmetrics.com/blog-card-thumbnails-standard/,https://local-service-spotlight.github.io/task-library/?task=add-homepage-blog-card-thumbnails#task-add-homepage-blog-card-thumbnails,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
105,P1,Known standard gap,add-schema-markup-person-localbusiness,Add Schema Markup (Person/LocalBusiness),Digital Plumbing,3,needs-work,https://blitzmetrics.com/digital-plumbing,https://local-service-spotlight.github.io/task-library/?task=add-schema-markup-person-localbusiness#task-add-schema-markup-person-localbusiness,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
106,P1,Known standard gap,audit-local-service-website,Audit a local-service website,Website QA Audit,3,needs-work,https://blitzmetrics.com/website-audit-checklist/,https://local-service-spotlight.github.io/task-library/?task=audit-local-service-website#task-audit-local-service-website,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
107,P1,Known standard gap,build-agency-website-for-vertical,Build an agency website for a vertical,Digital Plumbing,3,needs-work,https://blitzmetrics.com/agency-site-playbook/,https://local-service-spotlight.github.io/task-library/?task=build-agency-website-for-vertical#task-build-agency-website-for-vertical,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
108,P1,Known standard gap,build-external-backlinks-from-authoritative-sources,Build external backlinks from authoritative sources,SEO & Content Architecture,3,needs-work,https://blitzmetrics.com/link-building,https://local-service-spotlight.github.io/task-library/?task=build-external-backlinks-from-authoritative-sources#task-build-external-backlinks-from-authoritative-sources,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
109,P1,Known standard gap,build-money-tree-site-diagram,Build a Money Tree site diagram,SEO & Content Architecture,3,needs-work,https://blitzmetrics.com/money-tree/,https://local-service-spotlight.github.io/task-library/?task=build-money-tree-site-diagram#task-build-money-tree-site-diagram,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
110,P1,Known standard gap,build-personal-brand-website,Build personal brand website,Personal Branding,3,needs-work,https://blitzmetrics.com/personal-brand,https://local-service-spotlight.github.io/task-library/?task=build-personal-brand-website#task-build-personal-brand-website,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
111,P1,Known standard gap,build-third-party-validation,Build third-party validation,Personal Branding,3,needs-work,https://blitzmetrics.com/knowledge-panel,https://local-service-spotlight.github.io/task-library/?task=build-third-party-validation#task-build-third-party-validation,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
112,P1,Known standard gap,check-all-cta-buttons-lead-to-correct-destinations,Check all CTA buttons lead to correct destinations,Website QA Audit,3,needs-work,https://blitzmetrics.com/website-qa-audit,https://local-service-spotlight.github.io/task-library/?task=check-all-cta-buttons-lead-to-correct-destinations#task-check-all-cta-buttons-lead-to-correct-destinations,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
113,P1,Known standard gap,claim-and-verify-knowledge-panel-when-it-appears,Claim and verify Knowledge Panel when it appears,Personal Branding,3,needs-work,https://blitzmetrics.com/knowledge-panel,https://local-service-spotlight.github.io/task-library/?task=claim-and-verify-knowledge-panel-when-it-appears#task-claim-and-verify-knowledge-panel-when-it-appears,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
114,P1,Known standard gap,classify-and-offer-knowledge-panel,Classify and offer Knowledge Panel,Personal Branding,3,needs-work,https://blitzmetrics.com/knowledge-panel,https://local-service-spotlight.github.io/task-library/?task=classify-and-offer-knowledge-panel#task-classify-and-offer-knowledge-panel,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
115,P1,Known standard gap,close-ended-relationship-endorsement-links,Close endorsement links for an ended relationship,SEO & Content Architecture,3,needs-work,https://blitzmetrics.com/when-trust-ends-the-link-ends/,https://local-service-spotlight.github.io/task-library/?task=close-ended-relationship-endorsement-links#task-close-ended-relationship-endorsement-links,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
116,P1,Known standard gap,collect-verified-weekly-measurements,Collect verified weekly measurements,Strategy & Measurement,3,needs-work,https://localservicespotlight.com/skills-measurement-analytics/,https://local-service-spotlight.github.io/task-library/?task=collect-verified-weekly-measurements#task-collect-verified-weekly-measurements,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is needs-work; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
